# Created by fun3.pl
#ORF	BESTHIT	BESTAVER
NC_015380_231	K02669	K02669
NC_015380_235	K07080	K07080
NC_015380_236	K12661	
NC_015380_237	K00097	K00097
NC_015380_238	K15735	K15735
NC_015380_241	K07793	K07793
NC_015380_242	K16856	
NC_015380_243	K21883	K21883
NC_015380_244	K20454	K03417
NC_015380_245	K11690	K11690
NC_015380_247	K11688	K11688
NC_015380_248	K00163	K00163
NC_015380_250	K02521	
NC_015380_251	K03320	K03320
NC_015380_252	K00824	K00824
NC_015380_253	K00278	K00278
NC_015380_256	K03119	
NC_015380_257	K15736	K15736
NC_015380_261	K15918	K15918
NC_015380_263	K02029	K02029
NC_015380_264	K01713	
NC_015380_265	K01740	K01740
NC_015380_266	K19877	K19877
NC_015380_267	K06941	K06941
NC_015380_269	K09767	K09767
NC_015380_272	K11924	K11924
NC_015380_273	K02554	K02554
NC_015380_274	K18626	K18626
NC_015380_276	K02510	K02510
NC_015380_277	K02843	K02843
NC_015380_279	K09535	K09535
NC_015380_280	K01354	K01354
NC_015380_281	K01920	K01920
NC_015380_282	K01919	K01919
NC_015380_283	K00822	K00822
NC_015380_285	K06901	K06901
NC_015380_286	K07101	K07101
NC_015380_288	K01247	K01247
NC_015380_290	K07304	K12267
NC_015380_291	K01011	K01011
NC_015380_292	K03585	K03585
NC_015380_293	K18138	
NC_015380_294	K03296	
NC_015380_296	K01834	K01834
NC_015380_297	K00992	K00992
NC_015380_298	K07102	K07102
NC_015380_300	K06925	K06925
NC_015380_301	K01251	K01251
NC_015380_302	K14980	K14980
NC_015380_303	K14981	K14981
NC_015380_304	K02335	K02335
NC_015380_305	K01990	K01990
NC_015380_306	K03523	K03523
NC_015380_307	K15012	K15012
NC_015380_308	K01581	K01581
NC_015380_309	K00809	K00809
NC_015380_310	K01480	K01480
NC_015380_311	K01480	K01480
NC_015380_312	K15011	K15011
NC_015380_313	K02470	K02470
NC_015380_314	K03629	K03629
NC_015380_315	K02338	K02338
NC_015380_316	K02313	K02313
NC_015380_317	K02968	K02968
NC_015380_318	K10563	K10563
NC_015380_319	K03183	K06127
NC_015380_320	K03688	K03688
NC_015380_321	K13038	K13038
NC_015380_322	K13038	K13038
NC_015380_323	K01520	K01520
NC_015380_324	K21029	
NC_015380_326	K01716	K01716
NC_015380_327	K00647	K00647
NC_015380_328	K00208	K00208
NC_015380_329	K07305	K07305
NC_015380_330	K00962	K00962
NC_015380_331	K02956	K02956
NC_015380_332	K03177	K03177
NC_015380_333	K02834	K02834
NC_015380_334	K02519	K02519
NC_015380_335	K02600	K02600
NC_015380_336	K03439	K02493
NC_015380_337	K00789	K00789
NC_015380_338	K03820	K03820
NC_015380_339	K06189	K06189
NC_015380_340	K07042	K07042
NC_015380_342	K06217	K06217
NC_015380_343	K06168	K06168
NC_015380_344	K03711	K03711
NC_015380_347	K03796	K03796
NC_015380_348	K22074	K22074
NC_015380_350	K01867	K01867
NC_015380_351	K03980	K03980
NC_015380_352	K00029	K00029
NC_015380_354	K07056	K07056
NC_015380_356	K02428	K02428
NC_015380_357	K00989	K00989
NC_015380_358	K03687	K03687
NC_015380_359	K04043	K04043
NC_015380_360	K03686	K03686
NC_015380_361	K01940	K01940
NC_015380_362	K01491	K01491
NC_015380_363	K02221	K02221
NC_015380_364	K16052	K16052
NC_015380_365	K01719	K01719
NC_015380_366	K01749	K01749
NC_015380_367	K01409	K01409
NC_015380_368	K01409	K01409
NC_015380_369	K09761	K09761
NC_015380_370	K01895	K01895
NC_015380_374	K14393	K14393
NC_015380_376	K01783	K01783
NC_015380_378	K00602	K00602
NC_015380_379	K01724	K01724
NC_015380_380	K01561	K01561
NC_015380_381	K07157	K07157
NC_015380_382	K09791	K09791
NC_015380_383	K03628	K03628
NC_015380_384	K08973	K08973
NC_015380_385	K01772	K01772
NC_015380_386	K01599	K01599
NC_015380_387	K01599	K01599
NC_015380_388	K09773	K09773
NC_015380_389	K06287	K06287
NC_015380_390	K00014	K00014
NC_015380_391	K00859	K00859
NC_015380_392	K02342	K02342
NC_015380_393	K03071	K03071
NC_015380_394	K07113	K07113
NC_015380_397	K03667	K03667
NC_015380_398	K01419	K01419
NC_015380_399	K01693	K01693
NC_015380_400	K02501	K02501
NC_015380_401	K01814	K01814
NC_015380_402	K02500	K02500
NC_015380_403	K01523	K11755
NC_015380_404	K02503	K02503
NC_015380_408	K03466	K03466
NC_015380_409	K03185	K03185
NC_015380_410	K03650	K03650
NC_015380_411	K03495	K03495
NC_015380_412	K03501	K03501
NC_015380_413	K03496	K03496
NC_015380_414	K03497	K03497
NC_015380_415	K02340	K02340
NC_015380_416	K03643	K03643
NC_015380_417	K01869	K01869
NC_015380_418	K00788	K00788
NC_015380_419	K06997	K06997
NC_015380_421	K07668	K07668
NC_015380_424	K00847	
NC_015380_425	K03707	K02320
NC_015380_426	K10773	K10773
NC_015380_427	K00215	K00215
NC_015380_429	K14521	K14521
NC_015380_430	K06890	K06890
NC_015380_432	K06190	K06190
NC_015380_434	K11940	K11940
NC_015380_435	K02195	K02195
NC_015380_436	K02197	K02197
NC_015380_437	K02198	K02198
NC_015380_438	K02199	K02199
NC_015380_439	K02200	K02200
NC_015380_441	K00101	K00101
NC_015380_442	K00812	
NC_015380_443	K00104	K00104
NC_015380_444	K11472	K11472
NC_015380_445	K11473	K11473
NC_015380_446	K00015	K00015
NC_015380_449	K11690	K11690
NC_015380_450	K02433	K03457
NC_015380_453	K06889	K06889
NC_015380_454	K03110	K03110
NC_015380_455	K01778	K01778
NC_015380_456	K03106	K03106
NC_015380_457	K02959	K02959
NC_015380_458	K00554	K00554
NC_015380_459	K02884	K02884
NC_015380_460	K01703	K01703
NC_015380_461	K01704	K01704
NC_015380_462	K00052	K00052
NC_015380_463	K00133	K00133
NC_015380_464	K00241	K00241
NC_015380_465	K00242	K00242
NC_015380_466	K00239	K00239
NC_015380_467	K00240	K00240
NC_015380_468	K00140	K00140
NC_015380_469	K00024	K00024
NC_015380_470	K01903	K01903
NC_015380_471	K01902	K01902
NC_015380_472	K00164	K00164
NC_015380_473	K00658	K00658
NC_015380_474	K00382	K00382
NC_015380_475	K00616	K00616
NC_015380_476	K04066	K04066
NC_015380_477	K04066	K04066
NC_015380_478	K02113	K02113
NC_015380_479	K02111	K02111
NC_015380_480	K02115	K02115
NC_015380_481	K02112	
NC_015380_482	K02114	K02134
NC_015380_483	K08311	K08311
NC_015380_484	K03797	K03797
NC_015380_485	K00783	K00783
NC_015380_486	K09710	K09710
NC_015380_487	K00969	K00969
NC_015380_488	K00147	K00147
NC_015380_489	K00931	K00931
NC_015380_490	K03979	K03979
NC_015380_491	K02899	K02899
NC_015380_492	K02888	K02888
NC_015380_493	K01069	K01069
NC_015380_495	K00641	K00641
NC_015380_496	K00641	K00641
NC_015380_497	K00817	K00817
NC_015380_499	K00220	K00220
NC_015380_500	K00655	K00655
NC_015380_501	K01586	K01586
NC_015380_503	K01755	K01755
NC_015380_504	K06196	K06196
NC_015380_506	K06999	K06999
NC_015380_508	K06134	K06134
NC_015380_509	K03611	K03611
NC_015380_510	K19302	K19302
NC_015380_511	K01897	K01897
NC_015380_512	K01897	K01897
NC_015380_513	K01873	K01873
NC_015380_514	K07736	K07736
NC_015380_515	K05524	K05524
NC_015380_517	K17675	K17675
NC_015380_518	K01512	K01512
NC_015380_519	K19223	K19223
NC_015380_522	K07090	K07090
NC_015380_524	K08218	K08218
NC_015380_525	K08738	K08738
NC_015380_526	K00979	K00979
NC_015380_527	K04518	K04518
NC_015380_528	K02343	K02343
NC_015380_529	K09747	K09747
NC_015380_530	K06187	K06187
NC_015380_531	K01462	K01462
NC_015380_532	K00604	K00604
NC_015380_533	K06173	K06173
NC_015380_534	K01439	K01439
NC_015380_535	K00674	K00674
NC_015380_536	K07025	K07025
NC_015380_537	K00930	K00930
NC_015380_538	K03217	K03217
NC_015380_539	K08998	K08998
NC_015380_540	K03536	K03536
NC_015380_541	K02914	K02914
NC_015380_543	K04564	K04564
NC_015380_544	K06518	K06518
NC_015380_546	K21929	K21929
NC_015380_549	K00612	K00612
NC_015380_552	K06134	K06134
NC_015380_554	K03704	K03704
NC_015380_555	K06207	K06207
NC_015380_556	K00643	K00643
NC_015380_559	K07088	K07088
NC_015380_566	K08997	K08997
NC_015380_568	K00383	K00383
NC_015380_569	K09760	K09760
NC_015380_570	K01141	K01141
NC_015380_571	K03671	K03671
NC_015380_573	K00721	K00721
NC_015380_576	K11754	K11754
NC_015380_577	K01963	K01963
NC_015380_578	K01695	K01695
NC_015380_579	K01695	K01694
NC_015380_580	K01696	K01694
NC_015380_581	K01817	K01817
NC_015380_582	K01591	K01591
NC_015380_583	K05788	K05788
NC_015380_584	K02945	K02945
NC_015380_585	K00800	K00800
NC_015380_587	K06861	K06861
NC_015380_591	K06041	K06041
NC_015380_592	K03684	K03684
NC_015380_593	K00329;K00356	K00329;K00356
NC_015380_594	K06153	K06153
NC_015380_595	K00266	K00266
NC_015380_596	K00265	K00265
NC_015380_598	K06889	
NC_015380_599	K03843	K03843
NC_015380_600	K01868	K01868
NC_015380_601	K02520	K02520
NC_015380_602	K02916	K02916
NC_015380_603	K02887	K02887
NC_015380_604	K01889	K01889
NC_015380_605	K01890	K01890
NC_015380_606	K03596	K03596
NC_015380_610	K07011	K07011
NC_015380_611	K06955	K06955
NC_015380_614	K00627	K00627
NC_015380_615	K00163	K00163
NC_015380_616	K00135	K00135
NC_015380_617	K00042	K00042
NC_015380_619	K03704	K03704
NC_015380_622	K01494	K01494
NC_015380_623	K00790	K00790
NC_015380_625	K00013	K00013
NC_015380_626	K02518	K02518
NC_015380_627	K06287	K06287
NC_015380_628	K06287	K06287
NC_015380_629	K01892	K01892
NC_015380_630	K02502	K02502
NC_015380_631	K02502	K02502
NC_015380_632	K01892	K01892
NC_015380_633	K00765	K00765
NC_015380_634	K07136	K07136
NC_015380_637	K04077	K04077
NC_015380_638	K04078	K04078
NC_015380_640	K11753	K11753
NC_015380_641	K01870	K01870
NC_015380_642	K03101	K03101
NC_015380_644	K01810	K01810
NC_015380_645	K08316	K08316
NC_015380_646	K06178	K06178
NC_015380_647	K11991	K11991
NC_015380_648	K01945	K01945
NC_015380_649	K03601	K03601
NC_015380_650	K03601	K03601
NC_015380_652	K21471	K21471
NC_015380_653	K02517	K02517
NC_015380_654	K00912	K00912
NC_015380_655	K02527	K02527
NC_015380_656	K11085	
NC_015380_657	K03592	K03592
NC_015380_658	K03179	
NC_015380_659	K01560	K01560
NC_015380_660	K01560	K01560
NC_015380_661	K09761	K09761
NC_015380_662	K03568	K03568
NC_015380_663	K02275	K02275
NC_015380_664	K02274	K02274
NC_015380_668	K02276	K02276
NC_015380_669	K02276	K02276
NC_015380_670	K02274	K02274
NC_015380_671	K02275	K02275
NC_015380_672	K02257	K02257
NC_015380_674	K02258	K02258
NC_015380_675	K02276	K02276
NC_015380_676	K14998	K14998
NC_015380_677	K01733	K01733
NC_015380_678	K03469	K03469
NC_015380_679	K02204	K02204
NC_015380_680	K03527	K03527
NC_015380_681	K21817	K21817
NC_015380_682	K06443	K06443
NC_015380_683	K02291	K02291
NC_015380_684	K02291	K02291
NC_015380_685	K10027	K10027
NC_015380_686	K09580	K09580
NC_015380_687	K02109	K02109
NC_015380_688	K02109	K02109
NC_015380_689	K02110	K02110
NC_015380_690	K02108	K02108
NC_015380_691	K02116	K02116
NC_015380_692	K03529	K03529
NC_015380_695	K03575	K03575
NC_015380_696	K00480	K00480
NC_015380_697	K13581	K13581
NC_015380_698	K03470	K03470
NC_015380_699	K21929	K21929
NC_015380_701	K00919	K00919
NC_015380_702	K00970	K00970
NC_015380_703	K03624	K03624
NC_015380_704	K00228	K00228
NC_015380_705	K03216	K03216
NC_015380_706	K00411	K00411
NC_015380_707	K00412	
NC_015380_708	K00413	K00410
NC_015380_709	K06942	K06942
NC_015380_710	K01056	K01056
NC_015380_711	K02897	K02897
NC_015380_712	K00948	K00948
NC_015380_713	K05810	K05810
NC_015380_714	K05810	K05810
NC_015380_715	K00574	K18164
NC_015380_716	K13292	K13292
NC_015380_717	K07638	K07638
NC_015380_718	K07659	K07659
NC_015380_720	K00826	K00826
NC_015380_721	K08744	
NC_015380_722	K03703	K03703
NC_015380_723	K03703	K03703
NC_015380_724	K01633	K01633
NC_015380_725	K03793	
NC_015380_726	K03702	K03702
NC_015380_727	K00812	K00812
NC_015380_728	K00384	K00384
NC_015380_729	K07276	K07276
NC_015380_731	K01955	K01955
NC_015380_732	K01956	K01956
NC_015380_733	K09117	K09117
NC_015380_734	K02316	K02316
NC_015380_735	K03086	K03086
NC_015380_737	K07323	K07323
NC_015380_738	K04754	K04754
NC_015380_739	K01447	K01447
NC_015380_740	K03925	K03925
NC_015380_741	K03531	K03531
NC_015380_742	K03438	K03438
NC_015380_744	K03587	K03587
NC_015380_745	K01928	
NC_015380_746	K01929	K15792
NC_015380_747	K15792	K15792
NC_015380_748	K01000	K01000
NC_015380_749	K01925	K01925
NC_015380_750	K03588	K03588
NC_015380_751	K03588	K03588
NC_015380_752	K02563	K02563
NC_015380_753	K01924	K01924
NC_015380_754	K00075	K00075
NC_015380_755	K01921	K01921
NC_015380_756	K03589	K03589
NC_015380_757	K03590	K03590
NC_015380_758	K02535	K02535
NC_015380_759	K05807	K05807
NC_015380_760	K01972	K01972
NC_015380_761	K01262	K01262
NC_015380_762	K01262	K01262
NC_015380_763	K01262	K14208
NC_015380_764	K03657	K03657
NC_015380_766	K01679	K01679
NC_015380_767	K16066	K16066
NC_015380_769	K10764	K10764
NC_015380_770	K00549	K00549
NC_015380_772	K07112	K07112
NC_015380_773	K07112	K07112
NC_015380_774	K01011	K01011
NC_015380_775	K03386	
NC_015380_776	K05800	K05800
NC_015380_777	K05834	K05834
NC_015380_779	K01999	K01999
NC_015380_780	K01997	K01997
NC_015380_781	K01998	K01998
NC_015380_782	K01995	
NC_015380_783	K01996	K01996
NC_015380_786	K15737	K15737
NC_015380_787	K07120	K07120
NC_015380_788	K03417	
NC_015380_791	K00058	K03032
NC_015380_792	K17724	K17724
NC_015380_793	K02614	K02614
NC_015380_794	K07305	K07305
NC_015380_796	K13796	K13796
NC_015380_797	K05884	
NC_015380_799	K00052	K00052
NC_015380_803	K07793	K07793
NC_015380_804	K16514	K16514
NC_015380_805	K00059	K00059
NC_015380_806	K01681	K01681
NC_015380_807	K01681	K01681
NC_015380_808	K09788	K09788
NC_015380_809	K03119	K03119
NC_015380_811	K01720	K01720
NC_015380_813	K07794	K07794
NC_015380_814	K07793	K07793
NC_015380_815	K00059	K00059
NC_015380_817	K07090	K07090
NC_015380_818	K07090	K07090
NC_015380_819	K06911	K06911
NC_015380_820	K01118	K01118
NC_015380_821	K00547	K00547
NC_015380_822	K02196	K02196
NC_015380_823	K01560	
NC_015380_824	K09966	K09966
NC_015380_826	K01496	K01496
NC_015380_827	K01495	K01495
NC_015380_829	K19745	
NC_015380_831	K04752	
NC_015380_832	K16327	K16327
NC_015380_833	K11749	K11749
NC_015380_834	K03530	K03530
NC_015380_835	K06137	K06137
NC_015380_836	K00831	K00831
NC_015380_837	K00058	K00058
NC_015380_838	K01079	K01079
NC_015380_840	K03320	K03320
NC_015380_841	K00138	K00138
NC_015380_842	K09959	K09959
NC_015380_845	K03565	K03565
NC_015380_847	K01082	K01082
NC_015380_849	K00566	K00566
NC_015380_851	K11249	K11249
NC_015380_852	K05592	K11927
NC_015380_854	K07755	
NC_015380_855	K18911	K18911
NC_015380_857	K01756	
NC_015380_858	K07795	K07795
NC_015380_860	K07793	K07793
NC_015380_861	K03832	K03832
NC_015380_864	K00020	K00020
NC_015380_866	K03060	K03060
NC_015380_867	K18702	K18702
NC_015380_870	K01578	
NC_015380_871	K01578	K01578
NC_015380_872	K05539	K05539
NC_015380_873	K16165	K16165
NC_015380_874	K07090	K07090
NC_015380_875	K11249	K11249
NC_015380_876	K00626	K00626
NC_015380_878	K01908	K01908
NC_015380_880	K19802	K19802
NC_015380_881	K04755	K04755
NC_015380_882	K00384	K00384
NC_015380_883	K03503	K03503
NC_015380_884	K03502	K03502
NC_015380_887	K06204	K06204
NC_015380_888	K11209	K11209
NC_015380_890	K12340	K12340
NC_015380_891	K03553	K03553
NC_015380_892	K01872	K01872
NC_015380_894	K00031	K00031
NC_015380_895	K01613	K01613
NC_015380_896	K17103	K17103
NC_015380_897	K02427	K02427
NC_015380_898	K00088	K00088
NC_015380_900	K01951	K01951
NC_015380_901	K01951	K01951
NC_015380_903	K00606	K00606
NC_015380_906	K03977	K03977
NC_015380_907	K00764	K00764
NC_015380_908	K03558	K03558
NC_015380_909	K07003	K07003
NC_015380_910	K01775	K01775
NC_015380_911	K01775	K01775
NC_015380_912	K02314	K02314
NC_015380_913	K02939	K02939
NC_015380_914	K02963	K02963
NC_015380_915	K02990	K02990
NC_015380_916	K00645	K00645
NC_015380_917	K00059	K00059
NC_015380_918	K02078	K02078
NC_015380_919	K00942	K00942
NC_015380_920	K02528	K02528
NC_015380_921	K00097	K00097
NC_015380_923	K04744	K04744
NC_015380_924	K11720	K11720
NC_015380_925	K07091	K07091
NC_015380_926	K01255	K01255
NC_015380_927	K00940	K00940
NC_015380_928	K11175	K11787
NC_015380_929	K01933	K11788
NC_015380_930	K01933	K11787
NC_015380_933	K03684	K03684
NC_015380_934	K01876	K01876
NC_015380_935	K00525	K00525
NC_015380_936	K00356	K11352
NC_015380_938	K01961	K01961
NC_015380_939	K02160	K02160
NC_015380_940	K03786	K03786
NC_015380_941	K03154	
NC_015380_942	K03149	K03149
NC_015380_944	K04767	K07182
NC_015380_945	K15255	K15255
NC_015380_949	K00951	K01139
NC_015380_957	K08081	
NC_015380_958	K17893	K17893
NC_015380_970	K00605	K00605
NC_015380_971	K02437	K02437
NC_015380_972	K00281	K00281
NC_015380_973	K05770	K05770
NC_015380_974	K02523	K02523
NC_015380_975	K04774	K03313
NC_015380_976	K01878	K01878
NC_015380_977	K01879	K01879
NC_015380_978	K01879	K01879
NC_015380_979	K01006	K01006
NC_015380_980	K00767	K00767
NC_015380_981	K03517	K03517
NC_015380_983	K00812	K00812
NC_015380_984	K07080	K07080
NC_015380_986	K02426	K02426
NC_015380_987	K04488	K04488
NC_015380_990	K00057	K00057
NC_015380_991	K00330	K00330
NC_015380_992	K00331	K00331
NC_015380_993	K00332	K00332
NC_015380_994	K00333	K00333
NC_015380_995	K00334	K03943
NC_015380_996	K00335	
NC_015380_997	K00336	K00336
NC_015380_998	K00337	
NC_015380_999	K00338	K03941
NC_015380_1000	K00339	K00339
NC_015380_1001	K00340	K00340
NC_015380_1002	K00341	K00341
NC_015380_1003	K00342	K00342
NC_015380_1004	K00343	K00343
NC_015380_1005	K03524	K03524
NC_015380_1007	K03525	K03525
NC_015380_1008	K12574	K12574
NC_015380_1010	K01881	K01881
NC_015380_1011	K09808	K09808
NC_015380_1012	K09808	K09808
NC_015380_1013	K09810	
NC_015380_1014	K02337	K02337
NC_015380_1015	K02967	K02967
NC_015380_1016	K02357	K02357
NC_015380_1017	K02838	K02838
NC_015380_1018	K00806	K00806
NC_015380_1019	K00981	K00981
NC_015380_1020	K00099	K00099
NC_015380_1021	K00099	K00099
NC_015380_1022	K07277	K07277
NC_015380_1024	K02536	K02536
NC_015380_1025	K02372	K02372
NC_015380_1026	K00677	K00677
NC_015380_1028	K09949	K09949
NC_015380_1029	K00748	K00748
NC_015380_1030	K01647	K01647
NC_015380_1031	K01885	K01885
NC_015380_1032	K01356	K01356
NC_015380_1033	K01609	K01609
NC_015380_1034	K01609	K01609
NC_015380_1035	K00766	K00766
NC_015380_1036	K01658	
NC_015380_1037	K01658	
NC_015380_1038	K01657	K01657
NC_015380_1041	K01803	K01803
NC_015380_1042	K03075	K03075
NC_015380_1043	K01937	K01937
NC_015380_1044	K01627	K01627
NC_015380_1045	K01689	K01689
NC_015380_1047	K03644	K03644
NC_015380_1048	K03644	K03644
NC_015380_1049	K18588	K18588
NC_015380_1050	K03743	K03742
NC_015380_1051	K01095	K01095
NC_015380_1052	K12506	K12506
NC_015380_1053	K13598	K13598
NC_015380_1054	K13599	
NC_015380_1055	K13599	K13599
NC_015380_1056	K03499	K03499
NC_015380_1058	K03498	K03498
NC_015380_1059	K07461	K07461
NC_015380_1060	K09969	K09969
NC_015380_1061	K09970	K09970
NC_015380_1062	K09971	K09971
NC_015380_1063	K09972	K09972
NC_015380_1064	K01738	K01738
NC_015380_1065	K00574	K00574
NC_015380_1066	K09701	K09701
NC_015380_1067	K06954	K06954
NC_015380_1068	K01669	K01669
NC_015380_1069	K01669	K01669
NC_015380_1071	K00573	K00573
NC_015380_1072	K01873	K01873
NC_015380_1073	K01687	K01687
NC_015380_1074	K16011	K00971
NC_015380_1075	K01142	K01142
NC_015380_1076	K22072	K22072
NC_015380_1077	K01129	K01129
NC_015380_1078	K01887	K01887
NC_015380_1080	K01207	
NC_015380_1081	K05896	K05896
NC_015380_1082	K06024	K06024
NC_015380_1083	K03116	K03116
NC_015380_1084	K03117	K03117
NC_015380_1085	K03118	K03118
NC_015380_1086	K01875	K01875
NC_015380_1087	K01907	K01907
NC_015380_1088	K13735	K13735
NC_015380_1091	K08305	K08305
NC_015380_1093	K07258	K07258
NC_015380_1094	K00943	K00943
NC_015380_1095	K04764	K04764
NC_015380_1097	K02913	K02913
NC_015380_1098	K04782	K04782
NC_015380_1099	K02259	K02259
NC_015380_1100	K02871	K02871
NC_015380_1101	K02996	K02996
NC_015380_1102	K00145	K00145
NC_015380_1103	K00003	K00003
NC_015380_1104	K11532	K11532
NC_015380_1105	K07462	K07462
NC_015380_1106	K00432	K00432
NC_015380_1107	K03313	K03313
NC_015380_1108	K03937	K03937
NC_015380_1109	K17938	K17938
NC_015380_1110	K03655	K03655
NC_015380_1111	K09159	K18168
NC_015380_1112	K03210	K03210
NC_015380_1113	K03072	
NC_015380_1114	K03074	K12257
NC_015380_1115	K03701	K03701
NC_015380_1116	K03111	K03111
NC_015380_1117	K02469	K02469
NC_015380_1118	K00954	K00954
NC_015380_1119	K03767	K03767
NC_015380_1120	K00773	K00773
NC_015380_1121	K09500	K07387
NC_015380_1123	K22003	K22003
NC_015380_1124	K00567	
NC_015380_1125	K04763	K04763
NC_015380_1127	K03424	K03424
NC_015380_1128	K01874	K01874
NC_015380_1129	K02341	
NC_015380_1130	K03621	K03621
NC_015380_1131	K02911	K02911
NC_015380_1133	K15987	K15987
NC_015380_1134	K03625	K03625
NC_015380_1135	K00794	K00794
NC_015380_1136	K14652	K14652
NC_015380_1137	K00793	K00793
NC_015380_1138	K11752	K11752
NC_015380_1139	K07738	K07738
NC_015380_1140	K00600	K00600
NC_015380_1141	K01808	K01808
NC_015380_1142	K01698	K01698
NC_015380_1143	K01698	K01698
NC_015380_1144	K16048	K16048
NC_015380_1145	K02621	K02621
NC_015380_1146	K03584	K03584
NC_015380_1147	K03595	K03595
NC_015380_1148	K03685	K03685
NC_015380_1149	K03100	K03100
NC_015380_1150	K00997	K00997
NC_015380_1151	K03474	K03474
NC_015380_1152	K03474	K03474
NC_015380_1153	K00762	K00762
NC_015380_1154	K01139	
NC_015380_1155	K00950	K00950
NC_015380_1156	K03664	K03664
NC_015380_1157	K01714	K01714
NC_015380_1158	K08309	K08309
NC_015380_1160	K03386	
